naam,categorie,categorie2,website,tekstje,foto,adres,latitude,longitude
Op Wielekes,mobiliteit,fiets,http://www.opwielekes.be,Koopt u geen nieuwe fiets voor uw kind omdat het er toch te snel uitgroeit? Staat uw gang vol met fietsjes in afwachting tot het volgende kind erop kan rijden? Het Gentse fietsdeelsysteem Op Wielekes biedt een oplossing.,1.jpeg,"Hoveniersstraat 40,9050 Ledeberg",51.03761,3.745286
Blue-bike,mobiliteit,fiets,http://www.blue-bike.be/,"Lunchmeeting, opleiding, citytrip, familiebezoek...Met Blue-bike geraak je na je treinreis gemakkelijk van station tot eindbestemming en terug. Hou je Blue-bike kaart voor de automaat en de Blue-bike is de jouwe.",3.jpeg,"KONINGIN MARIA HENDRIKAPLEIN, 1 9000 GENT",51.0372496,3.7094975
Blue-bike,mobiliteit,fiets,http://www.blue-bike.be/,"Lunchmeeting, opleiding, citytrip, familiebezoek...Met Blue-bike geraak je na je treinreis gemakkelijk van station tot eindbestemming en terug. Hou je Blue-bike kaart voor de automaat en de Blue-bike is de jouwe.",3.jpeg,"oktrooiplein 10, 9000 Gent",51.0572026,3.7393588
Soepcafé de Dampkring,voeding,eet,http://www.facebook.com/soepcafedampkring,"Soepcafé brengt op diverse plekken in België buurtbewoners bij elkaar onder het genot van een vegetarische maaltijd die wordt bereid met voedseloverschotten. In ruil voor het eten wordt een vrijwillige bijdrage gevraagd, waarmee andere sociaal en ecologisch geëngageerde buurtinitiatieven worden ondersteund.",14.jpeg,"Tarbotstraat 61a, 9000 Gent",51.04579,3.741961
Soepcafé Dampoort,voeding,eet,http://xn--soepcaf-hya.be/,"Soepcafé brengt op diverse plekken in België buurtbewoners bij elkaar onder het genot van een vegetarische maaltijd die wordt bereid met voedseloverschotten. In ruil voor het eten wordt een vrijwillige bijdrage gevraagd, waarmee andere sociaal en ecologisch geëngageerde buurtinitiatieven worden ondersteund.",34.jpg,"Doornakkerstraat 54, 9040 Sint-Amandsberg",51.0542987,3.7485865
Soepcafé Rabot,voeding,eet,https://www.facebook.com/Soepcaf%C3%A9-Rabot-1153185141377807/?fref=ts,"Soepcafé brengt op diverse plekken in België buurtbewoners bij elkaar onder het genot van een vegetarische maaltijd die wordt bereid met voedseloverschotten. In ruil voor het eten wordt een vrijwillige bijdrage gevraagd, waarmee andere sociaal en ecologisch geëngageerde buurtinitiatieven worden ondersteund.",35.jpg,Jozef II straat 104-106,51.0633102,3.7129678
Far Field,voeding,kweek,http://www.farfield.be,"Als de wind waait van de verandering, bouwen sommigen muren en anderen windmolens…",8.jpeg,"Lostraat 76, 9850 NEVELE",51.08836,3.592771
Boerse poort,voeding,kweek,http://www.boersepoort.org,"Boerse Poort is een ecologische volkstuin door en voor de Brugse Poort. Het bestaat uit de individuele moestuinen op de Akker en in de Malpertuin, de Tuinkamers (groepstuinen) en het Kot (werk- en ontmoetingsplek).",29.png,"Haspelstraat 37, 9000 Gent",51.0585511,3.7024917
Tuin van heden,voeding,kweek,http://tuinvanheden.gent/,"Hou je van tuinieren maar heb je zelf geen tuin? Wil je graag aan je eigen vierkante-meter-tuin beginnen? Of wil je graag zelf kruiden beginnen kweken op je terras of balkon? Eén adres: de Tuin van Heden in Ledeberg. Kom naar hier voor tuinier plezier! De handige harry’s kunnen zich trouwens uitleven met hagen snoeien, hout hakken, serres bouwen,…",17.jpeg,"Meierij 178, 9050 Ledeberg",51.03198,3.735309
Roof food dakmoestuin,voeding,kweek,https://rooffood.be/nl,ROOF FOOD is een stadslandbouwproject gekoppeld aan vegetarische catering. Onze missie is om gezonde en ecologische voeding dichter te brengen bij het brede publiek en daarbij een sterk en duurzaam verhaal te brengen.,23.jpeg,"Gaston, Hurstweg 8, 9000 Gent",51.075008,3.721714
Roof food keuken,voeding,eet,https://rooffood.be/nl,ROOF FOOD is een stadslandbouwproject gekoppeld aan vegetarische catering. Onze missie is om gezonde en ecologische voeding dichter te brengen bij het brede publiek en daarbij een sterk en duurzaam verhaal te brengen.,23.jpeg,Guldensporenpark 31 bis,51.075008,3.721714
